First Name,Last Name,League,Team Name,Team Nickname,Aggression,Bravery,Determination,Teamplayer,Leadership,Temperament,Professionalism,Mental Toughness,Goalie Stamina,Acceleration,Agility,Balance,Speed,Stamina,Strength,Fighting,Screening,Getting Open,Passing,Puck Handling,Shooting Accuracy,Shooting Range,Offensive Read,Checking,Faceoffs,Hitting,Positioning,Shot Blocking,Stickchecking,Defensive Read,G Positioning,G Passing,G Pokecheck,Blocker,Glove,Rebound,Recovery,G Puckhandling,Low Shots,G Skating,Reflexes,Position,TPE
Cameron,Gaunce,American Hockey League,Syracuse,Crunch,12,15,14,13,14,8,16,1,1,13,13,15,14,14,15,9,8,12,14,13,8,13,12,15,6,15,12,13,15,13,1,1,1,1,1,1,1,1,1,1,1,Left Defender,800
Luke,Schenn,American Hockey League,Syracuse,Crunch,8,15,15,14,13,13,15,1,1,12,12,15,13,14,16,12,8,11,12,11,5,15,11,15,6,18,14,16,15,15,1,1,1,1,1,1,1,1,1,1,1,Right Defender,961
Cory,Conacher,American Hockey League,Syracuse,Crunch,11,15,15,13,13,10,13,1,1,15,15,13,15,13,12,6,11,15,14,15,15,8,14,13,9,14,13,7,10,13,1,1,1,1,1,1,1,1,1,1,1,Right Wing,799
Spencer,Martin,American Hockey League,Syracuse,Crunch,8,1,15,14,13,1,14,15,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,12,14,13,13,14,12,13,14,13,13,Goalie,535
Gemel,Smith,American Hockey League,Syracuse,Crunch,9,15,14,13,11,13,12,1,1,16,14,12,15,13,13,9,12,14,13,13,15,7,14,16,12,13,14,7,12,15,1,1,1,1,1,1,1,1,1,1,1,Left Wing,866
Scott,Wedgewood,American Hockey League,Syracuse,Crunch,7,1,13,16,13,1,16,14,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,12,13,12,14,14,13,13,14,16,15,Goalie,590
Mike,Condon,American Hockey League,Syracuse,Crunch,8,1,15,14,14,1,15,12,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,14,14,12,14,14,14,14,14,13,15,Goalie,550
Nolan,Valleau,American Hockey League,Syracuse,Crunch,8,12,13,11,11,13,12,1,1,13,13,12,13,12,13,7,7,9,13,13,7,14,12,13,7,13,14,13,13,13,1,1,1,1,1,1,1,1,1,1,1,Left Defender,544
Patrick,Sieloff,American Hockey League,Syracuse,Crunch,14,16,16,11,12,7,13,1,1,14,14,15,14,13,16,12,8,10,11,11,6,14,11,15,7,17,14,12,13,13,1,1,1,1,1,1,1,1,1,1,1,Left Defender,886
Luke,Witkowski,American Hockey League,Syracuse,Crunch,14,16,17,16,15,7,16,1,1,13,12,15,12,12,16,14,15,11,13,12,13,5,11,14,9,18,14,14,12,14,1,1,1,1,1,1,1,1,1,1,1,Right Wing,970
